hammadde kodu;YARI MAMUL ADI;BAĞLI BLOK STOK KODU;BAĞLI BLOK STOK ADI
HASUPL06823;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 188X120X1,5;HASURL0123;SUNGER LATEX RULO 60 DNS BEYAZ 190X1,5
HASUPL06819;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 188X135X1,5;HASURL0123;SUNGER LATEX RULO 60 DNS BEYAZ 190X1,5
HASUPL03080;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 188X135X3;HASURL0122;SUNGER LATEX RULO 60 DNS BEYAZ 190X3
HASUPL06822;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 188X90X1,5;HASURL0123;SUNGER LATEX RULO 60 DNS BEYAZ 190X1,5
HASUPL00356;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 190X137X3;HASURL0122;SUNGER LATEX RULO 60 DNS BEYAZ 190X3
HASUPL00329;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 190X92X3;HASURL0122;SUNGER LATEX RULO 60 DNS BEYAZ 190X3
HASUPL10587;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 195X145X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL10643;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 195X175X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL10753;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 195X195X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL00352;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 198X138X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL00347;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 198X148X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL06821;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 198X151X1,5;HASURL0124;SUNGER LATEX RULO 60 DNS BEYAZ 200X1,5
HASUPL03082;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 198X151X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL04333;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 198X158X1,5;HASURL0124;SUNGER LATEX RULO 60 DNS BEYAZ 200X1,5
HASUPL00353;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 198X158X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL00323;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 198X178X1,5;HASURL0124;SUNGER LATEX RULO 60 DNS BEYAZ 200X1,5
HASUPL00354;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 198X178X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL06820;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 198X181X1,5;HASURL0124;SUNGER LATEX RULO 60 DNS BEYAZ 200X1,5
HASUPL03084;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 198X181X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL00355;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 198X198X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL00350;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 198X88X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL00328;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 200X120X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL00349;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 200X140X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL08770;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 200X140X4;HASURL0189;SUNGER LATEX RULO 60 DNS BEYAZ 200X4
HASUPL00327;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 200X153X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL03953;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 200X160X1,5;HASURL0124;SUNGER LATEX RULO 60 DNS BEYAZ 200X1,5
HASUPL00319;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 200X160X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL08773;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 200X160X4;HASURL0189;SUNGER LATEX RULO 60 DNS BEYAZ 200X4
HASUPL03955;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 200X180X1,5;HASURL0124;SUNGER LATEX RULO 60 DNS BEYAZ 200X1,5
HASUPL00324;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 200X180X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL08776;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 200X180X4;HASURL0189;SUNGER LATEX RULO 60 DNS BEYAZ 200X4
HASUPL00331;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 200X183X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL00348;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 200X200X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL08932;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 200X200X4;HASURL0189;SUNGER LATEX RULO 60 DNS BEYAZ 200X4
HASUPL07205;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 200X80X4;HASURL0189;SUNGER LATEX RULO 60 DNS BEYAZ 200X4
HASUPL00386;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 200X90X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL06962;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 200X90X4;HASURL0189;SUNGER LATEX RULO 60 DNS BEYAZ 200X4
HASUPL08779;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 210X180X4;HASURL0189;SUNGER LATEX RULO 60 DNS BEYAZ 200X4
HASUPL11322;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 210X90X3;HASURL0122;SUNGER LATEX RULO 60 DNS BEYAZ 190X3
HASUPL04118;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 218X178X3;HASURL0122;SUNGER LATEX RULO 60 DNS BEYAZ 190X3
HASUPL02858;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 218X198X3;HASURL0121;SUNGER LATEX RULO 60 DNS BEYAZ 200X3
HASUPL06824;YARIMAMUL SÜNGER 60 DNS BEYAZ LATEX PLAKA 48X48X1,5;HASURL0124;SUNGER LATEX RULO 60 DNS BEYAZ 200X1,5
HASUPL09455;YARIMAMUL SÜNGER 22 DNS GRİ FLEXİ PLAKA 200X100X1,25;HASUBL0660;SUNGER PU BLOK 22 DNS BEYAZ 200X100X120 FLEXI
HASUPL10423;YARIMAMUL SÜNGER 22 DNS GRİ FLEXİ PLAKA 200X120X1,25;HASUBL0661;SUNGER PU BLOK 22 DNS BEYAZ 200X120X120 FLEXI
HASUPL10424;YARIMAMUL SÜNGER 22 DNS GRİ FLEXİ PLAKA 200X160X1,25;HASUBL0664;SUNGER PU BLOK 22 DNS BEYAZ 200X160X120 FLEXI
HASUPL10425;YARIMAMUL SÜNGER 22 DNS GRİ FLEXİ PLAKA 200X180X1,25;HASUBL0383;SUNGER PU BLOK 22 DNS BEYAZ 200X180X120 FLEXI
HASUPL10422;YARIMAMUL SÜNGER 22 DNS GRİ FLEXİ PLAKA 200X90X1,25;HASUBL0562;SUNGER PU BLOK 22 DNS GRI 200,5X95X120 FLEXI
HASUPL10444;YARIMAMUL SÜNGER 22 DNS GRİ FLEXİ PLAKA 50X50X1,25;HASUBL0559;SUNGER PU BLOK 22 DNS GRI 198X198X120 FLEXI
HASUPL11520;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 185X115X3,8;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11522;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 185X117X3,8;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11523;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 185X117X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11524;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 185X132X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11525;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 185X132X3,8;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11526;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 185X132X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11527;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 185X135X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11528;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 185X85X2,5;HASURL0308;SUNGER RULO 27 DNS ALOVERA YESIL 198X2,5 SOFT
HASUPL11530;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 185X87X3,8;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
HASUPL11531;YARIMAMUL SÜNGER 27 DNS YEŞİL ALOVERA SOFT PLAKA 185X87X4;HASURL0310;SUNGER RULO 27 DNS ALOVERA YESIL 198X3,8 SOFT
