SAS_No,Parti No,Malzeme Kodu,Teslimat Miktarı
SAS-5581743944,2604011268,120508239,36
SAS-5581743944,2604011269,120508239,36
SAS-5581743944,2604011287,120508239,36
SAS-5581743944,2604011288,120508239,36
SAS-5581743944,2604011289,120508239,36
SAS-5581743944,2604011025,120508239,30
SAS-5581743944,2604011026,120508239,30
SAS-5581743944,2604011027,120508239,30
SAS-5581743944,2604011028,120508239,30
SAS-5581743944,2604011029,120508239,30
SAS-5581743944,2604011030,120508239,30
SAS-5581743944,2604011031,120508239,30
SAS-5581743944,2604011032,120508239,30
SAS-5581743944,2604011290,120508239,36
SAS-5581743944,2604011033,120508239,30
SAS-5581743944,2604011283,120508239,36
SAS-5581743944,2604011270,120508239,36
SAS-5581743944,2604011276,120508239,36
SAS-5581743944,2604011275,120508239,36
SAS-5581743944,2604011274,120508239,36
SAS-5581743944,2604011281,120508239,36
SAS-5581743944,2604011273,120508239,36
SAS-5581743944,2604011271,120508239,36
SAS-5581743944,2604011279,120508239,36
SAS-5581743944,2604011272,120508239,36
SAS-5581743944,2604011278,120508239,36
SAS-5581743944,2604011277,120508239,36
SAS-5581743944,2604011267,120508239,36
SAS-5581743944,2604030599,120560749,89
SAS-5581743944,2604030580,120562830,88
SAS-5581743944,2604030605,120560749,89
SAS-5581743944,2603230656,120063988,1
SAS-5581743944,2603230653,120063988,9
SAS-5581743944,2603230635,120067793,10
SAS-5581743944,2603230757,120210504,8
SAS-5581743944,2604031214,120047881,5
SAS-5581743944,2604031203,120047881,5
SAS-5581743944,2604031228,120047881,2
SAS-5581743944,2604031183,120048845,5
SAS-5581743944,2604031182,120048845,5
SAS-5581743944,2604031175,120048845,5
SAS-5581743944,2604031200,120047881,5
SAS-5581743944,2604031201,120047881,5
SAS-5581743944,2604031191,120048845,1
SAS-5581743944,2603230634,120534552,5
SAS-5581743944,2603260101,120575364,107
SAS-5581743944,2603290560,120204455,108
SAS-5581743944,2603290561,120563803,108
SAS-5581743944,2603250847,120576989,108
SAS-5581743944,2603300005,120246162,110
SAS-5581743944,2603300004,120246162,110
